Gael gale  
gaff gaffe  
gage gauge  
gaht gat  
gait gate  
gaited gated  
gaiter gator  
galley gally  
gallop galop  
gamble gambol  
gamin gammon  
gased gassed gast  
gays gaze  
gel jell  
gene jean  
gest jest  
gibe jibe  
gild gilled guild  
gilt guilt  
gin jinn  
glair glare  
glairy glary  
gnar knar  
gneiss nice  
gnu knew new  
gnus news  
gofer gopher  
gored gourd  
gorilla guerilla  
gourd gourde  
grade grayed  
graft graphed  
grate great  
gray grey  
grayer greyer  
grays graze  
grease Greece  
greave grieve  
greaves grieves  
grievance grievants  
grip grippe  
grisly grizzly  
groan grown  
grocer grosser  
gros grow  
guarantee guaranty  
guessed guest  
guide guyed  
guise guys  
gyve jive  
