I ai aye eye  
isle aisle  
idle idol idyll  
illicit elicit  
immanent imminent  
immerged emerge  
immerged emerged  
immergence emergence  
immergences emergences  
immerges emerges  
immerging emerging  
impassable impassible  
impotence impotents  
in inn  
Inc ink  
incidence incidents  
incite insight  
inciteful insightful  
incompetence incompetents  
independence independents  
indict indite  
inflection inflexion  
infuser infusor  
innocence innocents  
inns ins  
installation instillation  
instance instants  
intense intents  
invade inveighed  
ire eyer  
irk erk  
irruption eruption  
irruptive eruptive  
islet eyelet  
