mach mock  
made maid  
magnificence magnificents  
mail male  
mails males  
main Maine mane  
maize maze  
malevolence malevolents  
mall maul  
mandrel mandrill  
manila manilla  
manner manor  
manners manors  
mantel mantle  
marc mark marque  
marcs marks marques Marx  
marquee marquis  
marshal martial  
marten martin  
mask masque  
massed mast  
mat matt matte  
mead meed  
mean mien  
meat meet mete  
meatier meteor  
medal meddle  
medals meddles  
metal mettle  
mewl mule  
mews muse  
mhos mots mows  
micks mix  
might mite  
mil mill  
millenary millinery  
mince mints  
mind mined  
miner minor  
miners minors  
minks minx  
miscible missable  
missal missile  
missals missiles  
missed mist  
misses missus
moan mown  
moat mote  
mode mowed  
mood mooed  
moose mousse  
mordant mordent  
morn mourn  
morning mourning  
mot mow  
much mutch  
mucous mucus  
mur myrrh  
murderess murderous  
muscle mussel  
muscles mussels  
mussed must  
mustard mustered  
mutual mutuel
